Titles,Company,Category,Location,Benefits,Highlights,Opportunities,Posted_Date,Link,page_id
Sales War Room Team (PIC/ Team Member),MPT - Myanma Posts & Telecommunications,"Sales, Business Development",Yangon.,Benefits: *Ferry Transport *Health Insurance *Performance Bonus,Highlights:An awesome company - Join a winning team - You can make a difference,Career Opportunities: Opportunities for promotion - Possibility for job training - Learn new skills and techniques,Today,https://www.jobnet.com.mm/job/sales-war-room-team-pic-team-member-mpt-myanma-posts-and-telecommunications/95477,1
Marketing Executive,"Insight Marketing Co.,Ltd","Marketing, Media, Creative",Yangon.,Benefits: Office Hour : 9AM to 5PM Bill Allowance Travel Allowance (if travel),Highlights:You can make a difference,Career Opportunities: Possibility for job training,Today,https://www.jobnet.com.mm/job/marketing-executive-insight-marketing-co-ltd/95641,1
"IT Support Engineer, Citizens Pay",Capital Diamond Star Group (CDSG),"IT Hardware, Software",Yangon.,Benefits: Benefits will be provided according to company policy.,Highlights:Fun Working Environment Join a winning team,Career Opportunities: Opportunities for promotion,Today,https://www.jobnet.com.mm/job/it-support-engineer-citizens-pay-capital-diamond-star-group-cdsg/96636,1
"Manager, Enterprise Architecture & Planning",ATOM,"IT Hardware, Software",Yangon.,Benefits: -Competitive Salary Package -Quarterly Bonus -Medical Insurance -Provide Transportation,Highlights:-Make a difference -Join an experienced team,Career Opportunities: -Learn new Skills on the job,27 Feb 2024,https://www.jobnet.com.mm/job/manager-enterprise-architecture-and-planning-atom/96600,1
Mobile App Development & Delivery,ATOM,"IT Hardware, Software",Yangon.,Benefits: -Competitive Salary Package -Quarterly Bonus -Medical Insurance -Provide Transportation,Highlights:-Make a difference -Join an experienced team,Career Opportunities: -Learn new Skills on the job,27 Feb 2024,https://www.jobnet.com.mm/job/mobile-app-development-and-delivery-atom/96599,1
Digital Content Writer (Myanmar/Thai) WFH,Phantom Games Company Limited,"Writing, Editing",Yangon.,"Benefits: Competitive guaranteed salary, benefits, and  commission based on performance.  Reimbursements for ISP(Internet) and phone Bills.",Highlights:You will be working from the comfort of your home.  No Commute. Fast-growing industry.  You will be working with natives and expats.,Career Opportunities: Possibility for job training,27 Feb 2024,https://www.jobnet.com.mm/job/digital-content-writer-myanmar-thai-wfh-phantom-games-company-limited/96595,1
Chinese Language Teacher,SLG Education (SIS Myanmar),"Education, Teaching, Childcare",Yangon.,Benefits: • Ferry Way • Sat and Sunday off,Highlights:• Fun Working environment • International Standards,Career Opportunities: • Learn news skills on the job • Promotion Opportunities • Training,27 Feb 2024,https://www.jobnet.com.mm/job/chinese-language-teacher-slg-education-sis-myanmar/95004,1
Resident Medical Officer,Pun Hlaing Hospitals,"Medical, Nursing, Pharmacy",Shan State.,Benefits: •Attractive salary with additional allowances  •Bonus and entitlement dependent on role and performance at management discretion,Highlights:•Medical Benefits are available as per group policy  •Family discount on medical expenses. •Leave benefits  •Comfortable and flexible work schedule,Career Opportunities: •Continuous Professional development and Career development opportunity. •Opportunity to continue a master's degree of your choice.,27 Feb 2024,https://www.jobnet.com.mm/job/resident-medical-officer-pun-hlaing-hospitals/95978,1
Assistant Architect - 3D Visualizer,KMA Group of companies,"Architecture, Design",Yangon.,Benefits: Rewards for over performance,Highlights:A rapidly growing organization which will allow your future to grow simultaneously with team,"Career Opportunities: Together with the growth of company business, there are a lot of potential for career development of the employees",27 Feb 2024,https://www.jobnet.com.mm/job/assistant-architect-3d-visualizer-kma-group-of-companies/94990,1
Jr. HR Executive,RG Express,"HR, Training and Recruitment",Yangon.,Benefits: Sunday off & Public Holiday Off Basic Salary + No Leave No Late,Highlights:Sunday off & Public Holiday Off Basic Salary + No Leave No Late,Career Opportunities: Sunday off & Public Holiday Off Basic Salary + No Leave No Late,27 Feb 2024,https://www.jobnet.com.mm/job/jr-hr-executive-rg-express/95785,1
